"Story","Title","Result","Date","Stability","Duration (s)"
"When adding tasks","Adding multiple tasks","SUCCESS","2022-12-18T20:54:38.93449951Z[Etc/UTC]","0.0","30.53"
"When adding tasks","Adding a single task","SUCCESS","2022-12-18T20:55:10.130586142Z[Etc/UTC]","0.0","2.37"
