"Story","Title","Result","Date","Stability","Duration (s)"
"When completing a task","Active tasks should not show completed tasks","SUCCESS","2022-12-18T20:54:39.096627087Z[Etc/UTC]","0.0","30.84"
"When completing a task","Completed tasks should not show active tasks","SUCCESS","2022-12-18T20:55:10.329631959Z[Etc/UTC]","0.0","3.31"
